"",Child restraint forward,"3,570","2,374","2,854","2,724","2,683","2,841",5.2
"",Child restraint rear,"1,431",938,"1,120","1,169","1,280","1,188",2.2
"",Booster seat,712,485,583,511,550,568,1.0
"",Child restraint unk.,511,288,382,417,433,406,0.7
"",Mc/Bike helmet,58,58,53,52,35,51,0.1
"",Mc/bike shield only,3,1,1,2,2,2,0.0
"",Mc/bike helmet & shield,34,28,24,22,11,24,0.0
"",Protective pads,350,166,131,260,272,236,0.4
"",Reflective clothing,3,9,7,8,11,8,0.0
"",Lighting,0,1,0,1,1,1,0.0
"",Air bag only,0,0,0,0,0,0,0.0
"",Air bag and belts,0,0,0,1,2,1,0.0
"",Other,248,143,158,285,151,197,0.4
"",Unknown,"4,888","3,576","4,316","4,379","4,393","4,310",7.8
"",,,,,,,
Equipment,2019,2020,2021,2022,2023,AVG.,%
pplicable,"5,949","3,144","3,889","5,142","6,110","4,847",8.8
one,"7,450","3,360","3,682","5,864","6,520","5,375",9.8
belt only,765,388,522,603,642,584,1.1
er belt only,333,264,262,237,289,277,0.5
r/Lap belt(s),"39,188","29,507","34,098","33,559","34,169","34,104",62.0
uth restraint,0,0,0,0,0,0,0.0
raint forward,"3,570","2,374","2,854","2,724","2,683","2,841",5.2
straint rear,"1,431",938,"1,120","1,169","1,280","1,188",2.2
ster seat,712,485,583,511,550,568,1.0
straint unk.,511,288,382,417,433,406,0.7
ke helmet,58,58,53,52,35,51,0.1
shield only,3,1,1,2,2,2,0.0
elmet & shield,34,28,24,22,11,24,0.0
ctive pads,350,166,131,260,272,236,0.4
ive clothing,3,9,7,8,11,8,0.0
ghting,0,1,0,1,1,1,0.0
bag only,0,0,0,0,0,0,0.0
g and belts,0,0,0,1,2,1,0.0
ther,248,143,158,285,151,197,0.4
known,"4,888","3,576","4,316","4,379","4,393","4,310",7.8
"65,493","44,730","52,082","55,236","57,554","55,019",100.0,
"",,,,,,,,
"",Safety Equipment,2019,2020,2021,2022,2023,AVG.,%
"",Not Applicable,953,727,650,767,851,790,7.1
"",None,"1,364","1,000",945,"1,014","1,171","1,099",9.9
"",Lap belt only,121,73,96,87,84,92,0.8
"",Shoulder belt only,102,68,59,51,72,70,0.6
"",Shoulder/Lap belt(s),"8,605","6,223","6,973","6,819","6,845","7,093",64.1
"",Child/Youth restraint,0,0,0,0,0,0,0.0
"",Child restraint forward,684,404,457,449,412,481,4.3
"",Child restraint rear,315,165,212,190,232,223,2.0
"",Booster seat,155,113,96,98,101,113,1.0
"",Child restraint unk.,85,60,84,99,66,79,0.7
"",Mc/Bike helmet,44,40,47,42,28,40,0.4
"",Mc/bike shield only,3,1,0,1,2,1,0.0
"",Mc/bike helmet & shield,28,25,22,19,9,21,0.2
"",Protective pads,14,6,0,7,5,6,0.1
"",Reflective clothing,0,4,1,2,3,2,0.0
"",Lighting,0,0,0,0,0,0,0.0
"",Air bag only,0,0,0,0,0,0,0.0
"",Air bag and belts,0,0,0,0,0,0,0.0
"",Other,24,28,27,17,26,24,0.2
"",Unknown,"1,130",829,930,902,897,938,8.5
"",,,,,,,,
"",Safety Equipment,2019,2020,2021,2022,2023,AVG.,%
"",Not Applicable,0,1,0,1,2,1,1.0
"",None,37,30,35,27,31,32,39.1
"",Lap belt only,0,0,0,0,0,0,0.0
"",Shoulder belt only,0,0,0,1,0,0,0.2
"",Shoulder/Lap belt(s),39,23,33,27,35,31,38.4
"",Child/Youth restraint,0,0,0,0,0,0,0.0
"",Child restraint forward,3,1,1,1,0,1,1.5
"",Child restraint rear,1,1,1,0,0,1,0.7
"",Booster seat,4,0,1,1,0,1,1.5
"",Child restraint unk.,0,0,1,0,0,0,0.2
"",Mc/Bike helmet,1,3,0,1,2,1,1.7
"",Mc/bike shield only,0,0,0,0,0,0,0.0
"",Mc/bike helmet & shield,3,0,1,0,1,1,1.2
"",Protective pads,0,0,0,0,0,0,0.0
"",Reflective clothing,0,0,0,0,0,0,0.0
"",Lighting,0,0,0,0,0,0,0.0
"",Air bag only,0,0,0,0,0,0,0.0
"",Air bag and belts,0,0,0,1,1,0,0.5
"",Other,0,0,0,0,0,0,0.0
"",Unknown,8,12,10,7,20,11,13.9
"",,,,,,,
Non-Motorist  Age,2019,2020,2021,2022,2023,AVG.,%
Under 5,107,101,100,88,108,101,2.4
5 - 9,174,128,139,136,128,141,3.3
10  -  15,407,227,309,381,417,348,8.2
16  -  17,158,119,113,148,202,148,3.5
18  -  19,179,130,149,130,172,152,3.6
20  -  24,446,328,379,421,427,400,9.4
25  -  29,448,337,377,362,420,389,9.1
30  -  34,375,380,374,414,429,394,9.3
35  -  39,362,306,327,298,343,327,7.7
40  -  44,266,259,280,253,326,277,6.5
45  -  49,262,203,235,228,266,239,5.6
50  -  54,346,261,266,266,286,285,6.7
55  -  59,357,305,302,306,291,312,7.3
60  -  64,280,232,255,273,308,270,6.3
65  -  69,203,152,175,177,210,183,4.3
70  -  79,188,166,188,163,235,188,4.4
80  +,125,71,77,105,115,99,2.3
Unknown,1,3,0,0,0,1,0.0
"",,,,,,,
Non-Motorist  Age,2019,2020,2021,2022,2023,AVG.,%
Under 5,107,101,100,88,108,101,2.4
5 - 9,174,128,139,136,128,141,3.3
10  -  15,407,227,309,381,417,348,8.2
16  -  17,158,119,113,148,202,148,3.5
18  -  19,179,130,149,130,172,152,3.6
20  -  24,446,328,379,421,427,400,9.4
25  -  29,448,337,377,362,420,389,9.1
30  -  34,375,380,374,414,429,394,9.3
35  -  39,362,306,327,298,343,327,7.7
40  -  44,266,259,280,253,326,277,6.5
45  -  49,262,203,235,228,266,239,5.6
50  -  54,346,261,266,266,286,285,6.7
55  -  59,357,305,302,306,291,312,7.3
60  -  64,280,232,255,273,308,270,6.3
65  -  69,203,152,175,177,210,183,4.3
70  -  79,188,166,188,163,235,188,4.4
80  +,125,71,77,105,115,99,2.3
Unknown,1,3,0,0,0,1,0.0
"",,,,,,,
Non-Motorist  Age,2019,2020,2021,2022,2023,AVG.,%
Under 5,70,57,56,53,57,59,1.8
5 - 9,158,107,131,121,114,126,3.9
10 - 15,358,193,273,333,356,303,9.3
16  -  17,135,100,98,131,172,127,3.9
18  -  19,149,109,117,108,145,126,3.8
20  -  24,370,261,303,311,335,316,9.7
25  -  29,368,265,291,300,329,311,9.5
30  -  34,286,291,270,318,325,298,9.1
35  -  39,282,243,229,228,246,246,7.5
40  -  44,199,188,216,197,250,210,6.4
45  -  49,204,147,164,176,178,174,5.3
50  -  54,264,196,205,198,211,215,6.6
55  -  59,286,216,221,223,204,230,7.0
60  -  64,220,180,198,193,221,202,6.2
65  -  69,163,117,110,132,149,134,4.1
70  -  79,141,118,143,118,159,136,4.2
80  +,72,43,50,63,67,59,1.8
Unknown,0,2,0,0,0,0,0.0
"",,,,,,,
Non-Motorist  Age,2019,2020,2021,2022,2023,AVG.,%
Under  5,1,1,2,1,6,2,1.5
5 - 9,1,3,0,2,1,1,0.9
10  -  15,4,1,3,4,2,3,1.9
16  -  17,2,4,1,1,2,2,1.3
18  -  19,2,2,2,4,1,2,1.5
20  -  24,7,9,5,8,16,9,6.0
25  -  29,12,11,15,9,14,12,8.1
30  -  34,13,14,18,21,15,16,10.7
35  -  39,10,9,20,12,12,13,8.4
40  -  44,11,10,12,7,12,10,6.9
45  -  49,8,13,9,6,15,10,6.8
50  -  54,13,16,7,16,18,14,9.3
55  -  59,15,18,10,17,18,16,10.3
60  -  64,10,18,14,17,19,16,10.3
65  -  69,8,6,7,9,8,8,5.0
70  -  79,12,13,9,9,17,12,8.0
80  +,5,4,3,6,4,4,2.9
Unknown,1,1,0,0,0,0,0.3
Maryland Highway Safety Office,,,
"",,,
Statewide,,,
Non-Motorist Gender,,,
Non-Motorist Gender 2019 2020 2021,,2022,2
"Male 2,869 2,392 2,596",,"2,587","2,"
"Female 1,760 1,267 1,401",,"1,498","1,"
Unknown 55 49 48,,64,
"Total Non-Motorists 4,684 3,708 4,045",,"4,149","4,"
Non-Motorist Gender 2019 2020 2021,,2022,2
"Male 2,252 1,819 1,956",,"1,982","2,"
"Female 1,461 1,005 1,116",,"1,213","1,"
Non-Motorist Gender,2019,2020,2021,2022,2023,AVG.,%
Male,"2,869","2,392","2,596","2,587","2,962","2,681",63.0
Female,"1,760","1,267","1,401","1,498","1,667","1,519",35.7
Unknown,55,49,48,64,54,54,1.3
Total Non-Motorists,"4,684","3,708","4,045","4,149","4,683","4,254",100.0
Non-Motorist Gender,2019,2020,2021,2022,2023,AVG.,%
Male,"2,252","1,819","1,956","1,982","2,201","2,042",62.4
Female,"1,461","1,005","1,116","1,213","1,311","1,221",37.3
Unknown,12,9,3,8,6,8,0.2
Non-Motorist Injuries,"3,725","2,833","3,075","3,203","3,518","3,271",100.0
Non-Motorist Gender,2019,2020,2021,2022,2023,AVG.,%
Male,95,124,92,107,136,111,73.5
Female,40,29,44,41,44,40,26.3
Unknown,0,0,1,1,0,0,0.3
Non-Motorist Fatalities,135,153,137,149,180,151,100.0
"",,,,,,,
Non-Motorist Location,2019,2020,2021,2022,2023,AVG.,
Not App.,281,217,309,323,379,302,
Shoulder,235,223,258,243,258,243,
Curb,103,75,97,89,124,98,
Sidewalk,265,223,214,219,252,235,
Outside Right of Way,114,84,96,95,110,100,
On Rd. at Crosswalk,829,556,592,686,784,689,
On Rd. Not at Cross.,"1,224","1,064","1,038","1,052","1,177","1,111",
In School Bus Zone,7,1,0,9,2,4,
In Bikeway,48,45,40,63,56,50,
t Inter Marked Crosswal,263,179,198,236,274,230,
At Inter No Crosswalk,267,170,210,170,217,207,
Driveway Access,17,15,17,20,23,18,
Median,25,29,29,35,29,29,
Island,3,0,3,1,4,2,
hared Use Path or Trail,5,8,10,13,13,10,
Inside Building,110,97,121,124,126,116,
idblock Marked Crosswa,9,10,9,13,11,10,
Other/Unk.,879,712,804,758,844,799,
"",,,,,,,
Non-Motorist Location,2019,2020,2021,2022,2023,AVG.,%
Not App.,281,217,309,323,379,302,7.1
Shoulder,235,223,258,243,258,243,5.7
Curb,103,75,97,89,124,98,2.3
Sidewalk,265,223,214,219,252,235,5.5
Outside Right of Way,114,84,96,95,110,100,2.3
On Rd. at Crosswalk,829,556,592,686,784,689,16.2
On Rd. Not at Cross.,"1,224","1,064","1,038","1,052","1,177","1,111",26.1
In School Bus Zone,7,1,0,9,2,4,0.1
In Bikeway,48,45,40,63,56,50,1.2
"",263,179,198,236,274,230,5.4
At Inter No Crosswalk,267,170,210,170,217,207,4.9
Driveway Access,17,15,17,20,23,18,0.4
Median,25,29,29,35,29,29,0.7
Island,3,0,3,1,4,2,0.1
"",5,8,10,13,13,10,0.2
Inside Building,110,97,121,124,126,116,2.7
"",9,10,9,13,11,10,0.2
Other/Unk.,879,712,804,758,844,799,18.8
"",,,,,,,
Non-Motorist Location,2019,2020,2021,2022,2023,AVG.,%
Not App.,122,74,99,123,144,112,3.4
Shoulder,190,190,192,191,190,191,5.8
Curb,84,64,78,69,95,78,2.4
Sidewalk,206,174,181,179,185,185,5.7
Outside Right of Way,95,74,69,82,90,82,2.5
On Rd. at Crosswalk,731,473,520,608,675,601,18.4
On Rd. Not at Cross.,"1,031",873,853,881,967,921,28.2
In School Bus Zone,5,0,0,6,2,3,0.1
In Bikeway,39,36,30,49,45,40,1.2
Inter Marked Crosswalk,226,154,175,205,249,202,6.2
At Inters No Crosswalk,231,133,182,135,180,172,5.3
Driveway Access,15,15,16,18,18,16,0.5
Median,19,23,20,30,21,23,0.7
Island,1,0,2,0,2,1,0.0
"",4,6,7,12,11,8,0.2
Inside Building,23,7,18,28,18,19,0.6
"",9,10,7,13,10,10,0.3
Other/Unk.,694,527,626,574,616,607,18.6
"",,,,,,,
Non-Motorist Location,2019,2020,2021,2022,2023,AVG.,%
Not App.,1,2,1,0,2,1,0.8
Shoulder,9,10,15,14,24,14,9.5
Curb,2,0,0,0,2,1,0.5
Sidewalk,4,6,1,4,5,4,2.7
Outside Right of Way,7,5,9,4,4,6,3.8
On Rd. at Crosswalk,11,16,13,12,16,14,9.0
On Rd. Not at Cross.,68,82,75,77,102,81,53.6
In School Bus Zone,1,0,0,1,0,0,0.3
In Bikeway,0,2,0,1,1,1,0.5
"",4,1,1,2,4,2,1.6
At Inters No Crosswalk,7,7,2,5,4,5,3.3
Driveway Access,0,0,0,0,0,0,0.0
Median,0,2,2,2,3,2,1.2
Island,0,0,0,0,0,0,0.0
"",0,1,0,0,0,0,0.1
Inside Building,0,0,1,0,0,0,0.1
"",0,0,0,0,0,0,0.0
Other/Unk.,21,19,17,27,13,19,12.9
"",,,,,,
otorist Movement,2019,2020,2021,2022,2023,A
". at Intersection","1,464","1,005","1,140","1,244","1,491","1,"
s. Not at Inter.,764,621,564,596,651,6
Ride with Traff.,357,349,336,340,409,3
ide against Tra.,191,142,169,158,189,1
Playing,83,67,65,53,71,
Standing,409,351,395,392,332,3
ng On/Off Veh.,99,88,74,74,92,
"/Work on Veh.",32,26,28,26,27,
her Working,71,72,78,88,92,
itchhiking,4,0,5,3,2,
Off School Bus,10,1,1,2,2,
g to from school,43,17,25,59,50,
ycling on sidewa,111,109,108,114,137,1
"1,046",860,"1,057","1,000","1,138","1,",
"",,,,,,,
Non-Motorist Movement,2019,2020,2021,2022,2023,AVG.,%
Cross. at Intersection,"1,464","1,005","1,140","1,244","1,491","1,269",29.8
Cross. Not at Inter.,764,621,564,596,651,639,15.0
Walk/Ride with Traff.,357,349,336,340,409,358,8.4
Walk/Ride against Tra.,191,142,169,158,189,170,4.0
Playing,83,67,65,53,71,68,1.6
Standing,409,351,395,392,332,376,8.8
Getting On/Off Veh.,99,88,74,74,92,85,2.0
Push/Work on Veh.,32,26,28,26,27,28,0.7
Other Working,71,72,78,88,92,80,1.9
Hitchhiking,4,0,5,3,2,3,0.1
On / Off School Bus,10,1,1,2,2,3,0.1
Walking to from school,43,17,25,59,50,39,0.9
"",111,109,108,114,137,116,2.7
Other / Unknown,"1,046",860,"1,057","1,000","1,138","1,020",24.0
"",,,,,,,
Non-Motorist Movement,2019,2020,2021,2022,2023,AVG.,%
Cross. at Intersection,"1,274",840,980,"1,080","1,281","1,091",33.4
Cross. Not at Inter.,657,512,465,499,546,536,16.4
Walk/Ride with Traff.,295,289,264,281,331,292,8.9
Walk/Ride against Tra.,149,123,141,130,147,138,4.2
Playing,79,56,61,46,63,61,1.9
Standing,328,283,324,319,252,301,9.2
Getting On/Off Veh.,86,81,61,68,82,76,2.3
Push/Work on Veh.,26,19,25,19,16,21,0.6
Other Working,58,60,66,72,71,65,2.0
Hitchhiking,3,0,3,1,2,2,0.1
On / Off School Bus,9,0,1,2,2,3,0.1
Walking to from school,42,16,22,50,43,35,1.1
"",93,91,94,95,107,96,2.9
Other / Unknown,626,463,568,541,575,555,17.0
"",,,,,,,
Non-Motorist Movement,2019,2020,2021,2022,2023,AVG.,%
Cross. at Intersection,31,30,23,24,35,29,19.0
Cross. Not at Inter.,37,49,48,42,53,46,30.4
Walk/Ride with Traff.,16,16,15,11,18,15,10.1
Walk/Ride against Tra.,10,5,2,8,11,7,4.8
Playing,0,0,0,0,0,0,0.0
Standing,12,11,8,17,14,12,8.2
Getting On/Off Veh.,1,0,2,1,1,1,0.7
Push/Work on Veh.,5,5,0,2,5,3,2.3
Other Working,0,2,1,4,6,3,1.7
Hitchhiking,0,0,2,1,0,1,0.4
On / Off School Bus,1,0,0,0,0,0,0.1
Walking to from school,0,0,0,2,2,1,0.0
"",2,2,1,2,2,2,0.0
Other / Unknown,20,33,35,35,33,31,20.7
Non-Motorist Fatalities,135,153,137,149,180,151,100.0
